pl_name,hostname,sy_pnum,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff
Kepler-1880 b,Kepler-1880,1,0,6.30921984,0.054000,2.117,0.189,5.13000,0.01610,M-R relationship,2.970000,,4380.00
Kepler-1881 b,Kepler-1881,1,0,159.39399720,0.536800,2.981,0.266,9.17000,0.02890,M-R relationship,1.900000,,5135.00
Kepler-1882 b,Kepler-1882,1,0,13.78730011,0.115100,1.487,0.133,2.81000,0.00886,M-R relationship,4.700000,,5691.00
Kepler-1883 b,Kepler-1883,1,0,103.42700200,0.443800,3.251,0.290,10.60000,0.03340,M-R relationship,1.700000,,6208.00
Kepler-1884 b,Kepler-1884,1,0,8.98832035,0.084500,1.814,0.162,3.95000,0.01240,M-R relationship,3.640000,,5984.00
Kepler-1885 b,Kepler-1885,1,0,2.52255988,0.036000,1.511,0.135,2.89000,0.00910,M-R relationship,4.600000,,5591.00
Kepler-1886 b,Kepler-1886,1,0,24.27580070,0.160000,2.582,0.230,7.18000,0.02260,M-R relationship,2.290000,,5745.00
Kepler-1887 b,Kepler-1887,1,0,19.94750023,0.142100,2.925,0.261,8.88000,0.02790,M-R relationship,1.950000,,5749.00
Kepler-1888 b,Kepler-1888,1,0,11.39169979,0.095600,1.326,0.118,2.32000,0.00729,M-R relationship,5.470000,,5557.00
Kepler-1889 b,Kepler-1889,1,0,37.30369949,0.208200,2.944,0.263,8.98000,0.02820,M-R relationship,1.930000,,5646.00
Kepler-189 b,Kepler-189,2,0,10.39993100,0.088000,1.210,0.108,1.92000,0.00606,M-R relationship,5.960000,,5235.00
Kepler-189 c,Kepler-189,2,0,20.13486600,0.137000,2.380,0.212,22.70000,0.07100,Mass,9.250000,,5235.00
Kepler-1890 b,Kepler-1890,1,0,4.82059002,0.056300,0.869,0.077,0.58700,0.00185,M-R relationship,4.920000,,6046.00
Kepler-1891 b,Kepler-1891,1,0,4.02229023,0.047300,1.521,0.136,2.93000,0.00921,M-R relationship,4.570000,,5516.00
Kepler-1892 b,Kepler-1892,1,0,6.33123016,0.063300,1.837,0.164,4.03000,0.01270,M-R relationship,3.570000,,5383.00
Kepler-1893 b,Kepler-1893,1,0,4.17936993,0.050400,1.706,0.152,3.55000,0.01120,M-R relationship,3.930000,,5633.00
Kepler-1894 b,Kepler-1894,2,0,2.76266003,0.038500,1.201,0.107,1.87000,0.00590,M-R relationship,5.930000,,5772.00
Kepler-1894 c,Kepler-1894,2,0,5.05368985,0.057600,1.210,0.142,1.92000,0.00606,M-R relationship,5.960000,,5772.00
Kepler-1895 b,Kepler-1895,1,0,6.07029009,0.061500,2.119,0.189,5.14000,0.01620,M-R relationship,2.970000,,5076.00
Kepler-1896 b,Kepler-1896,1,0,44.87020111,0.252900,3.099,0.277,9.80000,0.03080,M-R relationship,1.810000,,6122.00
Kepler-1897 b,Kepler-1897,1,0,24.22030067,0.154600,2.814,0.251,8.32000,0.02620,M-R relationship,2.050000,,5165.00
Kepler-1898 b,Kepler-1898,1,0,4.76562023,0.052200,0.934,0.083,0.76000,0.00239,M-R relationship,5.130000,,5702.00
Kepler-1899 b,Kepler-1899,1,0,4.09577990,0.045700,1.551,0.138,3.02000,0.00952,M-R relationship,4.450000,,4791.00
Kepler-19 b,Kepler-19,3,0,9.28699000,0.084600,2.209,0.197,6.10000,0.01919,Mass,3.100000,,5541.00
Kepler-19 c,Kepler-19,3,0,28.73100000,0.176574,3.680,0.328,13.10000,0.04122,Mass,1.440000,,5544.00
Kepler-190 b,Kepler-190,2,0,2.01999900,0.030000,1.560,0.139,3.05000,0.00961,M-R relationship,4.410000,,5106.00
Kepler-190 c,Kepler-190,2,0,3.76302400,0.045000,1.460,0.130,2.73000,0.00859,M-R relationship,4.820000,,5106.00
Kepler-1900 b,Kepler-1900,1,0,2.98622990,0.042000,1.623,0.145,3.27000,0.01030,M-R relationship,4.200000,,6173.00
Kepler-1901 b,Kepler-1901,1,0,3.48412991,0.045300,1.474,0.132,2.77000,0.00873,M-R relationship,4.750000,,5696.00
Kepler-1902 b,Kepler-1902,1,0,3.82222009,0.038500,1.176,0.105,1.74000,0.00546,M-R relationship,5.880000,,3729.00
Kepler-1903 b,Kepler-1903,1,0,17.06789970,0.132100,2.286,0.204,5.85000,0.01840,M-R relationship,2.690000,,6347.00
Kepler-1904 b,Kepler-1904,1,0,4.57702017,0.043600,1.390,0.124,2.51000,0.00791,M-R relationship,5.130000,,3805.00
Kepler-1905 b,Kepler-1905,1,0,3.42392993,0.045100,1.446,0.129,2.69000,0.00845,M-R relationship,4.890000,,5788.00
Kepler-1906 b,Kepler-1906,1,0,7.36268997,0.073800,2.776,0.248,8.13000,0.02560,M-R relationship,2.090000,,5868.00
Kepler-1907 b,Kepler-1907,2,0,5.65245009,0.056500,0.870,0.078,0.58900,0.00185,M-R relationship,4.920000,,5159.00
Kepler-1907 c,Kepler-1907,2,0,14.86390018,0.107600,1.155,0.103,1.63000,0.00513,M-R relationship,5.810000,,5159.00
Kepler-1909 b,Kepler-1909,1,0,2.39160991,0.030600,1.092,0.097,1.33000,0.00419,M-R relationship,5.610000,,4935.00
Kepler-191 b,Kepler-191,3,0,9.93963200,0.087000,1.340,0.120,2.36000,0.00742,M-R relationship,5.390000,,5282.00
Kepler-191 c,Kepler-191,3,0,17.73850600,0.128000,1.860,0.166,4.12000,0.01300,M-R relationship,3.520000,,5282.00
Kepler-191 d,Kepler-191,3,0,5.94504102,0.059900,2.280,0.203,5.82000,0.01830,M-R relationship,2.700000,,5215.00
Kepler-1910 b,Kepler-1910,1,0,5.68876982,0.053600,1.184,0.106,1.78000,0.00560,M-R relationship,5.890000,,4234.00
Kepler-1911 b,Kepler-1911,1,0,5.99079990,0.063600,1.011,0.090,1.01000,0.00318,M-R relationship,5.370000,,5721.00
Kepler-1912 b,Kepler-1912,1,0,6.05921984,0.064600,1.357,0.121,2.41000,0.00758,M-R relationship,5.300000,,5734.00
Kepler-1913 b,Kepler-1913,1,0,14.19600010,0.120900,1.519,0.135,2.92000,0.00918,M-R relationship,4.580000,,6214.00
Kepler-1914 b,Kepler-1914,1,0,30.82789993,0.195400,2.943,0.263,8.97000,0.02820,M-R relationship,1.930000,,5982.00
Kepler-1915 b,Kepler-1915,1,0,13.83539963,0.114000,3.218,0.287,10.40000,0.03290,M-R relationship,1.710000,,6020.00
Kepler-1916 b,Kepler-1916,1,0,31.25429916,0.205300,2.618,0.234,7.35000,0.02310,M-R relationship,2.250000,,6246.00
Kepler-1917 b,Kepler-1917,1,0,12.90240002,0.103000,1.890,0.169,4.23000,0.01330,M-R relationship,3.440000,,5530.00
Kepler-1918 b,Kepler-1918,1,0,47.05640030,0.252400,2.298,0.205,5.89000,0.01850,M-R relationship,2.670000,,5889.00
Kepler-1919 b,Kepler-1919,1,0,37.88660049,0.210700,2.624,0.234,7.38000,0.02320,M-R relationship,2.240000,,5513.00
